Filename,Label,LPC2,LPC3,LPC4,LPC5,LPC6,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,SFM,Spectral_Spread,Spectral_Skewness,Spectral_Centroid,Chroma_Mean,Chroma_Var,ZCR,STE,RMS
7\V-106.wav,V,1.0749323,0.7162795,-0.20263813,-0.0125107765,-0.047629446,41.92325,-71.147125,-6.8643236,35.882057,-40.25234,31.406956,5.5364356,-1.5074565,-8.103569,-0.06056714,-1.1904771,-0.1639153,-10.373823,0.0,19.253704543182764,0.0,0.07637626,48.43458639297445,2.7438602,170.92100867041847,0.23618096,0.0,0.06689453125,6.137871852144599,0.054744933
7\V-107.wav,V,1.1432146,0.79054576,0.38814232,0.51451796,0.24383697,80.665665,-70.40843,-17.987919,15.578172,-35.02887,38.708694,-4.117663,23.837269,-11.971921,12.699868,-11.103431,9.192049,-7.6834993,26.883348,25.15543286840854,2.4064916667520553,0.114467055,53.508156823552625,2.122701,172.53017559791655,0.2931045,0.004058843,0.1953125,6.689053564953308,0.073916875
7\V-108.wav,V,1.1352947,0.6106767,-0.27584457,-0.26055396,-0.1440914,36.509586,-65.85518,-21.392424,38.56066,-29.840076,37.17957,-8.228359,18.01763,-11.572301,18.405752,-11.615852,3.2758534,-4.636221,0.0,22.308457653241675,0.0,0.1269426,52.141332902380796,1.5253441,168.71133579755048,0.33398625,0.0,0.1103515625,2.8125058417208493,0.04252998
7\V-109.wav,V,0.9175766,0.6940135,0.39287275,0.11963914,-0.37881988,55.4782,-79.727554,-30.654459,1.3815576,9.549168,49.283768,-6.7730803,-5.8762074,-6.137849,12.925211,-4.4010096,14.904604,1.7271914,0.0,16.630400148813788,0.0,0.17950664,55.40226867855713,0.83571136,164.82430167401785,0.4344984,0.0,0.16259765625,2.315940479747951,0.04226168
7\V-11.wav,V,0.60530657,0.13054839,-0.08196664,0.27204266,-0.22912845,52.172543,-36.605083,-0.77129066,8.977213,-29.374657,43.733185,-7.920849,2.7394176,-1.6046401,-3.8297856,-6.6858187,21.018675,-13.829308,0.0,18.737267465708808,0.0,0.18313825,62.667110234796596,2.548325,156.10237405855986,0.26632568,0.0,0.09619140625,2.967219636309892,0.04195713
7\V-110.wav,V,1.5757618,1.6890833,1.5709989,1.6406233,1.2362251,38.549847,-80.47413,-35.97279,-5.5349755,-43.30326,34.975098,21.73214,12.334503,-26.011257,14.681192,-13.744078,16.824093,-19.086025,0.0,20.706727515784863,0.0,0.13273123,52.97717561529295,1.418377,167.14584437515697,0.427671,0.0,0.07373046875,3.5256514297798276,0.041491076
7\V-111.wav,V,1.142258,0.99183017,0.18822818,0.42180794,0.43270415,-176.23077,-56.924103,-24.741955,46.64177,-47.099533,23.798336,11.973948,-9.59564,-6.5621386,6.190029,-17.811493,2.4760675,4.291221,0.0,19.272189702378768,0.0,0.06590577,45.74931746346762,2.8441453,163.60903390307956,0.21525277,0.0,0.07763671875,0.09869523253291845,0.006941976
7\V-112.wav,V,1.2798109,0.63284194,-0.53846055,-0.4868443,-0.15810367,-39.11188,-73.87787,3.0336366,34.69403,-46.05206,52.17403,-0.7655368,4.643028,-3.6255999,13.870157,-16.836233,9.4422035,-1.0197482,0.0,25.301007332838257,0.0,0.060620457,48.10105791277985,1.8141074,175.40700485245608,0.36901692,0.0,0.10205078125,0.9809306915849447,0.027747063
7\V-113.wav,V,0.27833852,0.03910492,0.2902102,-0.09459397,-0.31034386,43.00482,-16.039736,-15.249254,-16.272863,8.107044,26.23144,-0.98616314,17.58549,-12.821143,15.935316,-11.066416,0.6152037,-11.752061,13.185515,15.842166169304225,0.022417843258538687,0.39551294,68.37269504371369,1.0195284,138.35024924214406,0.2814102,0.0051374524,0.17822265625,0.8242695418496927,0.027260777
7\V-114.wav,V,1.0200723,0.568504,0.7194219,0.341449,0.06254355,-47.227924,-56.827995,-11.623634,-25.135471,7.369158,3.5001285,-11.462765,17.728535,-27.842632,10.377483,-9.060838,1.4817989,-18.889019,0.0,18.458063977386452,0.0,0.15146859,63.33532242585784,2.7719855,173.61586612989964,0.18080513,0.0,0.05517578125,0.5077104419469833,0.015745016
7\V-115.wav,V,1.0332185,0.51296896,-0.17707036,-0.16046494,-0.08224416,-28.476353,-62.40779,-6.8492894,32.99504,-28.264286,21.261292,-12.265981,29.620174,-18.092575,14.410495,-0.47546136,8.873714,-27.644741,0.0,21.31821967339736,0.0,0.19416903,56.46682838033899,0.9776485,169.51787009458883,0.38725317,0.0,0.05517578125,0.6484311167150736,0.017793728
7\V-116.wav,V,0.73845994,0.33575922,0.34063393,0.24266751,-0.25485948,84.618416,-42.7529,-19.524832,-10.569175,-12.755298,45.338837,-13.694131,17.592287,-9.522227,8.218872,-17.151754,11.003643,-21.840727,32.10299,24.040119326863035,5.445642163042694,0.19658025,62.74040154039653,1.8258262,158.44539363816236,0.3251184,0.013582339,0.4021809895833333,4.262580883223563,0.06671519
7\V-117.wav,V,0.5457133,0.6018741,1.0121467,0.48160356,0.10330579,-4.728129,-20.466282,-47.678406,-32.538143,3.173492,42.908577,-18.881836,22.440243,-28.040798,20.13704,-21.542675,12.035227,-16.397625,0.0,23.37379450909277,0.0,0.18832934,60.55169409281333,1.290681,140.16789002653383,0.2743853,0.0,0.076171875,0.9466936402022839,0.021500062
7\V-118.wav,V,1.2504383,0.45024619,-0.16076887,0.16944239,0.20662217,-23.463125,-77.905334,15.096312,14.603166,-30.723305,40.103176,-0.5566166,18.7967,-11.480065,4.728388,-27.903954,15.058518,-6.4384727,0.0,22.430105681369646,0.0,0.07783043,53.966500095182916,2.1140358,181.02895965146894,0.33052048,0.0,0.1181640625,1.4046462010592222,0.029816728
7\V-119.wav,V,0.69960034,0.28075603,0.32640865,0.11677196,-0.38334146,64.20379,-30.357079,-21.900269,-3.5658195,-4.3306255,40.15518,-12.231765,15.988988,-14.884458,13.2074175,-7.8088517,10.688426,-17.207489,117.215164,21.69779268992034,2.5157140819745996,0.2740167,64.38900917901974,1.1930003,149.27979721428548,0.45786238,0.01712465,0.3152669270833333,4.386700234375894,0.05441029
7\V-12.wav,V,0.6973893,0.31002444,-0.3616135,-0.23462097,-0.1731241,11.783094,-41.238716,-23.135954,43.388153,-21.86345,31.885328,2.823121,30.458317,-21.51313,8.778975,-5.287195,4.4588842,-7.949501,0.0,21.292059017501938,0.0,0.20985201,59.16524213808017,1.2618777,154.42387441632442,0.4020648,0.0,0.119140625,0.8165264884009957,0.024825215
7\V-120.wav,V,0.530668,0.53793424,0.61972433,0.24981254,0.21239406,43.576218,-25.976936,-34.647903,-14.033651,8.329174,3.9615862,2.3905993,16.289923,-17.547522,8.21444,-22.289772,14.649606,-12.488887,21.933287,18.07369114833247,4.671366804040186,0.29629913,62.38368407356451,1.6320312,143.80348762799053,0.39452565,0.022861762,0.2509765625,1.1655456486623734,0.032556497
7\V-121.wav,V,1.2313278,1.1378672,1.3450712,1.1417563,0.50996614,11.3876705,-76.641685,-35.31102,-38.98709,2.557499,31.993671,-7.8040037,25.899395,-37.198505,-4.6557302,-7.118527,2.7839024,-16.737198,4.636329,19.196223831293985,2.939477965191317,0.10306297,58.810325844296884,2.0262363,167.6058016653852,0.27349606,0.00595518,0.21240234375,1.6714798842246334,0.038011342
