Filename,Label,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Chroma_Mean,Chroma_Var,SFM,Spectral_Centroid,Spectral_Spread,ZCR,STE,Spectral_Skewness
mixed10 (4).wav,mixed,-207.8095,145.17975,-12.243391,23.7714,13.28934,1507.7374,15.872027582369023,15.835138426260112,0.5694911,0.054182652,0.01548292,2933.5170115961073,3774.3889884802898,0.06436332614942529,19.565690425978275,9.098122
mixed10 (5).wav,mixed,-162.71913,117.81269,-26.042439,11.139398,7.9718804,2451.8235,15.541136931386303,15.043373294502024,0.5258807,0.07025749,0.033016242,3872.3495552405448,4122.780564827126,0.11094086745689655,15.208377068119415,7.050079
mixed10 (6).wav,mixed,-270.59457,140.94261,-7.0085325,27.46289,18.940514,1895.8254,14.743297256523066,11.589042686545477,0.58326894,0.06092952,0.0095577,2867.2526390089865,4003.899352577585,0.05451351472701149,4.057916026293284,7.4153323
mixed10 (7).wav,mixed,-135.94263,146.82866,-32.11797,9.328639,-1.9813716,1636.2914,16.02703927454987,15.06530792685422,0.47492948,0.082202286,0.017622966,2947.125762179426,3469.4530677579774,0.0751953125,34.90304009948529,7.7650976
mixed10 (8).wav,mixed,-144.6182,171.59808,-23.507788,22.493832,12.922974,1110.0369,15.58021284103326,11.819401145485257,0.5265808,0.061567064,0.0021863363,2053.5444616621985,2981.448133126662,0.043984599497126436,31.162803022680816,7.456472
mixed10 (9).wav,mixed,-166.41574,144.89114,-16.466293,8.5977,8.71973,1708.3567,15.270068919781252,13.765002182001316,0.52133614,0.060466554,0.019821476,3008.015505253014,3735.0047221489153,0.06957165948275862,23.326153577176175,7.807519
mixed10.wav,mixed,-145.60236,149.87909,-30.234352,7.4256516,4.502589,1706.024,15.737997572439038,15.441716427709824,0.45129034,0.07458294,0.01766998,2856.1178480788017,3430.15264998346,0.06927420079022989,33.534132207442354,7.3763638
mixed11 (10).wav,mixed,-122.30195,101.56434,-29.287657,9.666965,-5.9625716,2024.3916,15.645728937792041,21.06370833569216,0.43514717,0.08549452,0.03980705,4350.112018151635,4217.525621048386,0.12356883081896551,27.165224791735927,6.788013
mixed11 (11).wav,mixed,-199.0966,81.705025,-19.644732,-9.535087,-6.278874,4714.3857,14.22480746574732,11.57411885541853,0.47496018,0.061813798,0.08295897,5585.133733380967,5322.237512811068,0.16707076149425287,10.328344501840284,5.1622725
mixed11 (12).wav,mixed,-105.14223,98.92413,-24.424934,-7.5000806,-4.4061217,1468.6799,14.873461217049444,12.096695538401779,0.47758138,0.06893423,0.06946865,5137.568662697919,4842.321012147648,0.1539264547413793,27.18600050364271,5.5526423
mixed11 (13).wav,mixed,-200.84027,154.98636,-10.050253,10.573527,2.155358,1711.1992,15.182984679153094,11.377425978261199,0.55138594,0.07132791,0.0044497945,2505.6343674319114,3676.836263531603,0.048323006465517244,13.232661206878161,7.065288
mixed11 (14).wav,mixed,-63.86165,68.08839,-30.559809,-11.483815,-8.601822,854.08905,15.32875755007393,22.14623952934635,0.4458145,0.08822,0.09570292,6051.390982664863,5351.8449965790005,0.18367793642241378,37.49139090000808,6.0712204
